top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Kalista,Renekton,Rengar,Gragas,Sylas,Irelia,Draven,Veigar,Nami,Alistar,14036.0,blue,2,-1.0,-2.0,4.6,0.33000000000000007,10.25,0.75,12.2,adc,Marksman,top,Fighter,top,Assassin,top,Fighter,top,Mage,top,Fighter,adc,Marksman,mid,Mage,support,Support,support,Tank
Sion,Nasus,Ekko,Fiddlesticks,LeBlanc,Zed,Xayah,Zeri,Rakan,Yuumi,5036.0,red,2,1.0,-1.0,1.5,6.33,3.0,3.0,4.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Mage,mid,Assassin,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Urgot,Pantheon,Kha'Zix,Taliyah,Singed,Swain,Varus,Aphelios,Nautilus,Karma,1524.0,red,0,-1.0,0.0,3.6,9.0,0.0,2.14,1.5,top,Fighter,top,Fighter,jungle,Assassin,jungle,Mage,top,Tank,top,Mage,mid,Marksman,adc,Marksman,mid,Tank,support,Mage
Ornn,Camille,Vi,Xin Zhao,Ryze,Syndra,Varus,Jinx,Tahm Kench,Janna,-4600.0,red,-2,2.0,0.0,-2.0,-9.5,-2.0,0.0,-5.0,top,Tank,top,Fighter,jungle,Fighter,jungle,Fighter,mid,Mage,mid,Mage,mid,Marksman,adc,Marksman,top,Support,support,Support
Karthus,Jax,Diana,Zac,Tristana,Katarina,Lucian,Kai'Sa,Janna,Rakan,4608.0,blue,1,-2.0,-1.0,0.19999999999999996,2.67,-0.6600000000000001,-3.33,-3.0,jungle,Mage,top,Fighter,jungle,Fighter,top,Tank,mid,Marksman,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Yasuo,Xin Zhao,Diana,Hecarim,Lucian,Neeko,Tristana,Karthus,Thresh,Yuumi,-5111.0,red,1,-1.0,1.0,-6.0,-2.08,-1.25,0.0,-6.5,top,Fighter,jungle,Fighter,jungle,Fighter,jungle,Fighter,adc,Marksman,jungle,Mage,mid,Marksman,jungle,Mage,support,Support,support,Support
K'Sante,Kayle,Wukong,Fiddlesticks,Lux,Vex,Aphelios,Jinx,Karma,Thresh,3467.0,red,2,1.0,-1.0,2.0,1.0,1.0,1.5,-0.6699999999999999,top,Tank,top,Fighter,top,Fighter,jungle,Mage,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support
Fiora,Camille,Graves,Poppy,Fizz,Zoe,Nilah,Ezreal,Taric,Karma,2908.0,blue,0,-2.0,0.0,0.25,6.33,2.0,3.33,4.2,top,Fighter,top,Fighter,jungle,Marksman,top,Tank,mid,Assassin,mid,Mage,adc,Fighter,adc,Marksman,support,Support,support,Mage
Cassiopeia,Olaf,Vi,Udyr,Karma,Lucian,Draven,Ezreal,Nautilus,Blitzcrank,-5134.0,blue,-1,-1.0,1.0,-7.5,-4.5,-7.0,2.0,-7.0,top,Mage,top,Fighter,jungle,Fighter,top,Fighter,support,Mage,adc,Marksman,adc,Marksman,adc,Marksman,mid,Tank,support,Tank
K'Sante,Mordekaiser,Warwick,Kayn,Akali,Vladimir,Aphelios,Seraphine,Janna,Senna,596.0,blue,1,-2.0,0.0,1.0,6.5,0.33000000000000007,-3.33,-1.0,top,Tank,top,Fighter,top,Fighter,top,Fighter,top,Assassin,top,Mage,adc,Marksman,adc,Mage,support,Support,support,Marksman
