,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
774,775,2745.0,1,0,-1.0,4.0,5.0,2.67,-4.5,-6.0,0.0,1.0
775,776,-144.0,0,2,2.0,6.0,5.0,-1.0,-2.67,-5.0,-1.0,0.0
776,777,-374.0,1,0,1.0,0.6699999999999999,-2.4,-0.05,1.5,6.75,0.0,1.0
777,778,-1631.0,0,0,0.0,-1.5,4.5,-4.12,0.3500000000000001,1.25,1.0,0.0
778,779,-4096.0,0,-2,1.0,-0.5,1.33,1.67,-5.5,-6.67,-1.0,-1.0
779,780,6522.0,1,1,-1.0,3.75,7.6,2.0,2.17,6.0,-1.0,0.0
780,781,1992.0,1,2,-1.0,6.0,4.0,-6.0,3.67,1.17,-1.0,-2.0
781,782,-1075.0,1,0,1.0,1.17,-1.0,1.0,-2.5,2.0,1.0,2.0
782,783,7786.0,1,2,-1.0,-0.25,3.76,6.0,8.6,10.0,-2.0,-1.0
783,784,3894.0,1,1,0.0,0.0,-3.5,4.0,-1.67,-1.42,1.0,0.0
784,785,-5952.0,0,-2,0.0,-4.0,2.5,1.0,-2.5,-6.5,-2.0,0.0
785,786,4050.0,1,2,-1.0,2.0,5.4,1.67,1.5,4.0,-1.0,1.0
786,787,-4381.0,0,-1,1.0,-2.33,-1.0,-0.7,-2.5,-2.0,0.0,0.0
787,788,-2919.0,0,0,-2.0,-8.5,-5.0,-1.33,-2.5,4.75,1.0,-1.0
788,789,-9242.0,0,0,-1.0,0.5,-4.5,-1.25,-8.8,-10.0,0.0,1.0
789,790,9258.0,1,0,0.0,4.0,7.5,-0.3399999999999998,11.33,12.5,2.0,1.0
790,791,6356.0,1,2,-1.0,0.0,4.0,6.25,1.75,0.33,1.0,1.0
791,792,-80.0,1,1,-1.0,-3.0,1.0,2.0,6.25,-0.3399999999999998,-2.0,0.0
792,793,-6135.0,0,-2,0.0,-3.67,-5.33,-1.0,-1.0,-8.33,0.0,0.0
793,794,-1500.0,1,-2,0.0,0.6699999999999999,-3.5,-2.33,2.0,1.34,1.0,1.0
794,795,2313.0,1,2,1.0,-5.67,3.0,2.0,0.5800000000000001,4.5,-1.0,0.0
795,796,-1757.0,0,0,2.0,-1.0,2.0,0.0,6.25,1.0,0.0,1.0
796,797,4911.0,1,0,-1.0,-0.33,9.67,0.0,2.33,2.17,3.0,1.0
797,798,2584.0,1,0,1.0,0.0,-5.33,-5.0,2.32,-0.7999999999999998,0.0,0.0
798,799,14611.0,1,1,0.0,2.5,9.0,4.75,10.0,9.8,0.0,-2.0
799,800,2253.0,0,0,-1.0,4.0,1.5,-2.0,-0.5,-0.5,-2.0,0.0
800,801,-2778.0,0,0,0.0,0.0,-5.5,-4.0,-3.5,-1.0,0.0,0.0
801,802,5297.0,1,1,0.0,3.0,0.0,3.5,3.5,8.67,0.0,0.0
802,803,-1301.0,1,-2,1.0,0.0,2.5,0.0,-7.0,-0.92,0.0,0.0
803,804,2486.0,1,1,1.0,1.5,0.08,4.75,0.0,0.33,0.0,1.0
804,805,2206.0,0,2,1.0,4.5,1.0,1.0,0.5,-1.0,-1.0,-2.0
805,806,-1694.0,0,0,1.0,-1.0,0.25,-3.2,2.33,-5.67,3.0,0.0
806,807,-1803.0,0,0,0.0,1.17,-1.08,5.67,2.5,-1.0,0.0,0.0
807,808,1140.0,0,2,1.0,0.83,-4.0,-6.67,-0.47,-2.5,-1.0,0.0
808,809,9044.0,1,1,2.0,-2.33,5.0,8.0,1.0,3.0,-1.0,0.0
809,810,-8001.0,0,0,0.0,-2.83,-7.8,-2.73,-3.0,-6.5,2.0,1.0
