gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
2300.0,1,2,2.0,0.0,1.0,2.5,-3.33,1.5,1.35,0.0,0.0,6.670000000000044
-117.0,0,2,-1.0,0.0,2.0,1.0,0.0,-0.5,-0.5,1.0,-1.0,-10.950000000000005
1469.0,1,1,0.0,-1.0,-1.0,1.83,2.5,-1.25,0.75,0.0,0.0,69.41000000000003
1489.0,0,0,0.0,-1.0,2.25,-7.4,0.0,1.17,4.8,-1.0,1.0,83.06000000000003
-1656.0,0,-2,1.0,0.0,-0.5,-6.0,-0.5,-1.0,-3.5,-1.0,0.0,5.509999999999998
-1111.0,0,-2,1.0,0.0,3.5,-5.67,1.0,4.0,-4.0,1.0,-1.0,-15.04
2705.0,1,0,-1.0,2.0,0.0,-1.0,4.25,2.0,2.0,0.0,0.0,7.0500000000000185
-9414.0,0,-1,2.0,2.0,-1.0,-2.7,-0.5,-7.2,-6.0,-1.0,0.0,3.2600000000000198
2365.0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.529999999999973
328.0,1,0,-2.0,0.0,0.0,1.67,-2.0,1.08,-1.5,1.0,0.0,7.930000000000021
-4073.0,0,2,2.0,0.0,0.3299999999999999,-7.0,-0.5,-9.5,-2.17,1.0,0.0,11.789999999999983
-644.0,0,0,1.0,0.0,2.0,-4.0,-1.17,1.67,1.17,-3.0,-1.0,3.0500000000000043
-5957.0,0,-2,1.0,1.0,-3.0,-5.33,-3.75,-0.33,-5.0,1.0,0.0,2.83000000000002
-1372.0,0,0,-1.0,1.0,0.25,5.33,-2.33,-0.5,0.6699999999999999,0.0,1.0,-11.730000000000018
2508.0,1,2,-1.0,1.0,8.83,8.0,4.5,-0.08,-4.0,1.0,-1.0,3.709999999999973
-2731.0,0,1,0.0,1.0,-0.83,3.33,2.5,-8.0,-0.75,0.0,1.0,8.569999999999986
-1940.0,1,2,1.0,0.0,-4.5,6.25,1.5,-1.5,0.0,2.0,-1.0,-4.190000000000019
13900.0,1,1,-2.0,-4.0,4.0,10.0,6.0,4.0,4.0,3.0,1.0,37.45000000000003
-5220.0,0,-2,1.0,1.0,-4.0,-1.0,3.5,-4.33,0.8300000000000001,0.0,1.0,-5.250000000000007
-815.0,0,0,-2.0,0.0,0.25,0.0,-0.5,-0.5,1.0,0.0,1.0,-6.450000000000017
384.0,1,-1,2.0,0.0,-3.0,-4.75,-1.33,2.0,2.0,1.0,1.0,11.519999999999952
-6415.0,0,-2,0.0,1.0,-2.0,-3.75,-7.33,-7.0,-4.5,2.0,1.0,-9.319999999999991
2500.0,1,2,0.0,0.0,-1.5,8.0,1.25,7.0,7.67,-2.0,0.0,13.97000000000004
-706.0,0,-1,0.0,1.0,-5.5,-7.0,1.0,-5.67,-0.6699999999999999,1.0,0.0,-4.890000000000001
125.0,0,0,0.0,0.0,-3.0,-2.67,-2.67,7.25,1.42,-1.0,0.0,0.6599999999999966
972.0,1,-1,-1.0,2.0,-1.5,-0.5,-4.0,0.5,4.33,-2.0,0.0,16.589999999999996
851.0,1,-2,-1.0,0.0,-5.75,8.6,3.5,4.25,0.0,-2.0,0.0,30.81999999999997
5990.0,1,0,-1.0,0.0,-0.5,0.8300000000000001,6.67,3.0,5.25,-1.0,2.0,-1.970000000000006
27.0,1,2,1.0,-2.0,5.6,-3.17,1.0,-4.5,-5.5,0.0,1.0,-14.419999999999987
-9502.0,0,-1,0.0,2.0,-7.0,-6.75,0.0,-2.5,-3.4,0.0,0.0,-9.289999999999978
-2187.0,0,0,1.0,-1.0,1.0,-1.0,-6.0,0.5,-4.5,2.0,-2.0,-50.74999999999999
-9269.0,0,-1,0.0,1.0,-6.0,-2.7,-5.0,1.5,0.0,0.0,0.0,-12.570000000000022
-102.0,0,0,-1.0,0.0,1.0,4.0,3.33,-4.5,-5.0,0.0,-1.0,-2.4099999999999757
7980.0,1,2,-1.0,-2.0,1.5,10.0,4.1,1.75,1.0,0.0,0.0,-0.2100000000000079
-6711.0,0,-2,2.0,2.0,-4.36,-2.4,-3.0,4.0,-1.5,0.0,1.0,12.989999999999997
-8238.0,0,-2,1.0,2.0,-1.5,0.0,-5.2,-2.33,-2.67,1.0,1.0,12.329999999999984
3986.0,1,0,-1.0,-1.0,1.6,8.67,-1.0,2.0,6.67,0.0,-1.0,7.579999999999991
-473.0,0,0,0.0,0.0,-0.92,2.17,2.5,3.0,5.5,2.0,2.0,-26.85999999999997
-2785.0,0,2,1.0,0.0,1.17,-6.0,-2.17,-4.0,-4.0,-2.0,-1.0,0.6799999999999855
5007.0,1,2,-1.0,0.0,6.0,0.0,4.0,2.0,1.0,-1.0,1.0,20.859999999999992
7066.0,1,1,-2.0,-2.0,5.0,7.33,1.33,-0.5,0.0,2.0,0.0,4.640000000000008
-2292.0,0,-2,1.0,1.0,-0.47,-8.0,-5.2,-2.5,-3.17,1.0,-1.0,-19.099999999999987
-1578.0,0,-2,1.0,1.0,-3.0,7.0,1.0,4.2,3.33,1.0,0.0,-4.490000000000009
