link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/oce/567571078,Ornn,Gangplank,Master Yi,Lillia,Riven,Tristana,Kai'Sa,Nilah,Morgana,Sona,5.0,0.4,3.0,2.0,6.0,0.0,3.0,2.0,4.0,1.0,3183.0,0.0,0.0,0.0,2.0,2,0,blue
/match/oce/567482127,Kai'Sa,Viktor,Jax,Kha'Zix,Cassiopeia,Malphite,Miss Fortune,Jinx,Ashe,Lulu,1.0,5.0,0.75,3.5,2.0,3.0,4.0,2.0,1.33,1.5,-514.0,0.0,0.0,1.0,0.0,2,0,red
/match/oce/567473551,Irelia,Graves,Kha'Zix,Jarvan IV,Vladimir,Lux,Aphelios,Ezreal,Senna,Fizz,2.5,0.0,1.5,2.33,0.33,2.67,1.5,2.0,3.0,2.0,425.0,0.0,0.0,0.0,1.0,0,1,red
/match/oce/567357153,Fiora,Yasuo,Viego,Jarvan IV,Ahri,Kai'Sa,Samira,Jinx,Nautilus,Lulu,0.0,11.0,1.5,2.5,5.0,1.0,3.0,0.5,4.0,1.0,-4977.0,1.0,0.0,1.0,1.0,1,1,red
/match/oce/567286284,Sion,Vayne,Evelynn,Lillia,Urgot,Zac,Kai'Sa,Ezreal,Rell,Milio,2.0,0.33,3.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,-1813.0,0.0,0.0,1.0,0.0,1,1,red
/match/oce/568063192,Vladimir,Illaoi,Viego,Rek'Sai,Galio,Aurelion Sol,Jinx,Xayah,Ashe,Senna,3.0,0.0,7.0,1.0,5.0,0.5,12.0,0.0,6.0,0.4,7633.0,0.0,1.0,0.0,2.0,2,0,blue
/match/oce/568058762,Cho'Gath,Jayce,Kha'Zix,Jarvan IV,Sylas,Veigar,Kai'Sa,Jinx,Rakan,Thresh,1.33,0.6,5.0,12.0,3.0,1.33,1.67,4.0,1.25,1.75,-3659.0,1.0,0.0,1.0,1.0,0,2,red
/match/oce/568053608,Tryndamere,Darius,Kindred,Lee Sin,LeBlanc,Lissandra,Lucian,Xayah,Amumu,Seraphine,0.25,5.0,0.67,5.0,1.0,2.0,0.33,4.0,1.5,6.0,-8773.0,1.0,0.0,0.0,2.0,0,1,red
/match/oce/568047734,Sion,Vladimir,Master Yi,Vi,Ahri,Jayce,Varus,Ezreal,Nautilus,Thresh,0.0,1.0,9.0,0.4,6.0,2.0,3.0,1.0,6.0,0.5,6694.0,0.0,0.0,0.0,1.0,2,0,blue
/match/oce/568047018,Bel'Veth,Riven,Warwick,Lillia,Ahri,Jayce,Caitlyn,Jinx,Milio,Janna,7.0,0.0,9.0,0.6,7.0,0.33,2.0,1.0,5.0,2.0,5773.0,0.0,1.0,0.0,2.0,2,0,blue
/match/oce/568081319,Gnar,Ornn,Nidalee,Lee Sin,Lux,Lissandra,Ezreal,Aphelios,Sona,Seraphine,1.0,1.0,2.0,6.0,2.5,1.0,2.0,1.0,2.0,4.0,2007.0,0.0,1.0,0.0,1.0,2,0,blue
/match/oce/568066933,Camille,Jax,Nidalee,Lee Sin,Irelia,Xerath,Vayne,Ezreal,Renata Glasc,Karma,4.0,0.67,7.0,1.33,1.25,2.5,2.0,1.5,0.5,4.0,2420.0,0.0,0.0,0.0,1.0,2,0,blue
/match/oce/568061897,Gnar,Aatrox,Evelynn,Lee Sin,Vex,LeBlanc,Zeri,Vayne,Rakan,Yuumi,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2631.0,0.0,1.0,2.0,0.0,1,0,blue
/match/oce/568054996,Jayce,Renekton,Elise,Master Yi,Katarina,Xerath,Seraphine,Zeri,Rakan,Janna,2.33,0.75,2.67,1.5,4.0,1.33,2.0,3.0,3.0,2.0,2125.0,0.0,0.0,1.0,0.0,2,0,blue
/match/oce/568058276,Nasus,Garen,Rek'Sai,Lillia,Vladimir,Ahri,Varus,Milio,Nautilus,Lucian,1.0,1.0,11.0,0.6,1.0,1.0,12.0,0.0,6.5,0.8,9301.0,0.0,1.0,0.0,1.0,2,0,blue
/match/oce/567248734,Jax,Malphite,Fiddlesticks,Jarvan IV,Bel'Veth,Diana,Ezreal,Varus,Nautilus,Thresh,1.5,0.67,2.0,4.33,1.8,1.2,3.0,3.0,1.33,3.25,-67.0,1.0,1.0,1.0,1.0,2,0,blue
/match/oce/567194217,Olaf,Renekton,Taliyah,Nidalee,Yasuo,Jayce,Aphelios,Nilah,Thresh,Leona,0.5,1.5,4.0,1.67,4.0,0.5,5.0,1.5,7.0,0.67,2170.0,0.0,1.0,0.0,1.0,1,1,blue
/match/oce/567082374,Sett,Rammus,Viego,Fiddlesticks,Xayah,Brand,Syndra,Kai'Sa,Rakan,Blitzcrank,0.4,2.0,1.0,3.5,0.0,4.0,0.75,4.0,0.33,5.0,-3440.0,0.0,1.0,1.0,1.0,2,0,red
/match/oce/567065185,Malphite,Jayce,Rengar,Kha'Zix,Swain,Zoe,Ezreal,Draven,Lux,Morgana,0.67,2.33,1.0,6.0,1.0,6.0,3.0,0.33,2.5,4.0,-6928.0,1.0,0.0,2.0,0.0,1,1,red
/match/oce/567046610,Darius,Jayce,Diana,Udyr,Syndra,Galio,Tristana,Caitlyn,Thresh,Heimerdinger,1.0,1.0,2.0,2.5,7.0,0.33,5.0,0.5,0.75,5.0,-1003.0,1.0,0.0,2.0,0.0,0,2,red
/match/oce/568043017,Riven,Ornn,Kindred,Bel'Veth,Taliyah,Varus,Sivir,Jinx,Alistar,Janna,1.0,0.5,9.0,1.25,5.5,0.75,3.5,1.0,3.67,1.33,6083.0,0.0,1.0,0.0,2.0,1,1,blue
/match/oce/568040227,Shen,Kennen,Bel'Veth,Lee Sin,Pantheon,Gragas,Xayah,Lucian,Pyke,Milio,6.0,0.0,1.5,3.0,2.0,3.0,3.0,3.0,6.0,1.75,2168.0,0.0,0.0,2.0,0.0,1,1,red
