link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/las/1290281409,Cho'Gath,Poppy,Ekko,Elise,Seraphine,Irelia,Lucian,Rakan,Thresh,Varus,-8032.0,-5.0,-2.0,11 / 27 / 27,27 / 11 / 36,0,2,red,0.2,2.5,2.0,6.0,0.0,7.0,1.25,3.0,1.67,8.0
/match/las/1290279502,Maokai,Jayce,Kayn,Jarvan IV,Syndra,Zed,Xayah,Jinx,Rakan,Janna,-403.0,0.0,-2.0,37 / 29 / 52,29 / 37 / 42,1,1,blue,2.5,3.5,4.0,3.33,1.14,2.0,0.8,3.5,7.0,1.5
/match/las/1290276714,Kennen,Zac,Kayn,Nocturne,Riven,Aurelion Sol,Jinx,Caitlyn,Karma,Milio,-942.0,-1.0,0.0,27 / 40 / 37,40 / 27 / 56,1,1,red,1.0,3.0,6.0,3.0,1.25,2.0,0.6,0.8,5.0,6.0
/match/las/1290271017,Gangplank,Camille,Viego,Jarvan IV,Cassiopeia,LeBlanc,Samira,Aphelios,Annie,Thresh,5316.0,2.0,0.0,38 / 25 / 70,24 / 38 / 44,1,0,blue,6.0,1.33,3.5,2.0,2.5,1.67,2.25,2.0,13.0,1.6
/match/las/1290259464,Ornn,Wukong,Nocturne,Kindred,Lissandra,Gragas,Ezreal,Twitch,Thresh,Pyke,-1584.0,0.0,-2.0,34 / 22 / 65,22 / 34 / 38,1,0,blue,3.0,0.0,5.0,8.0,0.2,3.0,6.0,2.5,1.0,2.33
/match/las/1290257961,Sion,Jax,Lee Sin,Kha'Zix,Vex,Akali,Ashe,Jinx,Nautilus,Senna,3699.0,2.0,-1.0,38 / 22 / 54,22 / 38 / 22,1,1,blue,1.5,1.0,5.0,4.0,1.0,0.67,9.0,0.5,8.0,7.0
/match/las/1290713448,Kled,Jax,Volibear,Lee Sin,Aurelion Sol,Vex,Jinx,Vayne,Janna,Lulu,-3913.0,-2.0,2.0,26 / 32 / 43,32 / 26 / 36,0,2,red,1.0,1.25,2.5,1.4,0.67,3.0,2.0,2.0,3.0,4.0
/match/las/1290703357,Ziggs,Garen,Lillia,Kha'Zix,Aatrox,Kai'Sa,Ezreal,Tristana,Lulu,Lux,-1947.0,0.0,0.0,31 / 49 / 34,47 / 32 / 39,0,2,red,1.5,0.5,3.0,5.0,0.2,5.0,2.33,1.0,1.6,2.2
/match/las/1290700031,Vayne,Fiora,Shen,Jarvan IV,LeBlanc,Viktor,Vi,Kai'Sa,Lulu,Rakan,-4273.0,-3.0,3.0,16 / 17 / 23,17 / 16 / 31,0,2,red,2.5,1.0,1.0,0.0,2.0,1.0,8.0,5.0,4.0,0.75
/match/las/1290639432,Mordekaiser,Olaf,Kha'Zix,Sylas,Zed,Rumble,Vayne,Miss Fortune,Lulu,Zyra,6332.0,3.0,3.0,29 / 8 / 23,8 / 29 / 10,2,0,blue,4.0,0.5,2.0,1.0,3.5,1.25,7.0,1.0,6.0,2.0
