gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
2847.0,1,0,-1.0,-1.0,0.8300000000000001,3.5,-1.0,7.8,3.3,-1.0,2.0
-247.0,1,-2,1.0,1.0,-4.67,-0.33,-1.0,3.5,-2.0,2.0,1.0
8680.0,1,1,-1.0,0.0,-6.33,2.75,8.0,5.67,1.83,0.0,0.0
-2237.0,0,0,2.0,1.0,-0.83,-3.0,-6.67,2.33,-3.5,1.0,1.0
-3204.0,0,0,1.0,0.0,-4.0,-5.5,-5.6,1.0699999999999998,0.0,-3.0,-2.0
4955.0,1,2,0.0,-1.0,1.0,8.0,9.0,1.5,2.83,0.0,-1.0
565.0,0,1,1.0,0.0,2.0,-3.5,-6.5,-5.5,0.33,0.0,-1.0
-4947.0,1,-2,0.0,1.0,-1.0,-8.0,-2.27,-6.0,-4.0,0.0,-1.0
-11865.0,0,-1,1.0,2.0,-2.5,-3.25,-3.75,-3.5,-2.5,1.0,-2.0
-6.0,0,2,1.0,0.0,6.0,6.25,2.0,-11.0,-2.0,-1.0,1.0
7195.0,1,2,0.0,-1.0,2.1,5.33,6.0,2.0,2.0,-1.0,0.0
-3252.0,1,0,-1.0,0.0,-4.5,-4.6,-6.0,-1.0,-4.6,-1.0,-2.0
3469.0,1,2,0.0,0.0,5.75,0.6600000000000001,1.0,0.6000000000000001,-4.0,1.0,-1.0
-1863.0,0,0,-1.0,0.0,3.0,1.0,-2.0,-7.0,-7.0,0.0,0.0
-7195.0,1,-1,-1.0,1.0,-0.83,-5.5,-4.0,-3.0,0.5,1.0,1.0
-1371.0,1,-1,-1.0,0.0,2.5,-1.0,0.0,0.0,3.0,0.0,1.0
-754.0,1,0,-2.0,2.0,-3.67,2.33,4.0,-1.5,-2.5,0.0,0.0
3496.0,1,0,-2.0,-1.0,6.0,6.0,4.67,-4.0,-1.5,-1.0,0.0
1823.0,1,0,0.0,0.0,1.53,-0.75,6.33,2.0,4.25,-1.0,1.0
-2478.0,0,-1,1.0,0.0,0.0,1.5,-1.0,-2.67,-2.0,1.0,1.0
-615.0,0,0,1.0,-1.0,-2.33,-5.0,-6.0,-3.5,-0.33,2.0,0.0
3561.0,1,1,-1.0,0.0,-0.83,3.0,3.33,1.67,0.8300000000000001,4.0,0.0
-1025.0,1,2,1.0,-1.0,0.33,-6.5,-6.6,3.0,1.0,0.0,0.0
560.0,1,2,0.0,1.0,2.75,-2.17,-4.9,-3.5,0.8300000000000001,1.0,1.0
2108.0,1,0,0.0,0.0,3.0,-2.0,0.0,-2.0,-0.5,0.0,1.0
4963.0,1,2,-2.0,-1.0,1.5,4.0,1.0,2.33,3.0,0.0,1.0
1636.0,0,-1,1.0,0.0,4.75,3.0,-3.0,-0.25,0.5,-1.0,-1.0
-1813.0,0,0,1.0,0.0,1.67,-1.0,-2.0,0.0,1.0,0.0,0.0
-10547.0,0,0,1.0,0.0,-7.86,-14.6,-5.36,-12.0,-2.5,0.0,0.0
3239.0,0,-1,-1.0,-1.0,-1.0,2.0,0.0,6.67,8.0,1.0,-1.0
-12103.0,0,-2,1.0,3.0,-7.0,-6.0,-4.0,-6.67,-9.8,-1.0,0.0
-222.0,0,-2,2.0,1.0,-4.6,0.0,-0.1699999999999999,5.5,5.0,-1.0,0.0
2247.0,1,-1,1.0,0.0,3.67,4.0,-1.33,2.0,3.67,1.0,0.0
-7357.0,0,-2,0.0,0.0,-0.33,-4.75,-7.0,-1.67,-3.7,1.0,-1.0
5070.0,1,2,-1.0,-2.0,5.0,-1.0,3.0,-5.67,-2.67,-1.0,0.0
-5073.0,0,-2,2.0,0.0,1.0,-3.5,-3.67,-0.8300000000000001,-2.17,1.0,0.0
-11884.0,0,1,2.0,2.0,-4.0,-5.0,-2.0,-11.62,-4.5,-2.0,0.0
-4187.0,0,-2,1.0,1.0,-3.67,-6.0,-2.0,0.5,0.0,-1.0,-1.0
5620.0,1,2,2.0,-1.0,-1.0,-3.67,-1.5,7.0,8.0,1.0,0.0
