,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
978,588.0,0,0.0,0.0,1.5,3.0,5.67,2.0,1.0
979,-1313.0,0,0.0,0.0,-3.33,-5.0,1.0,-1.0,1.0
980,-3813.0,0,2.0,1.0,-1.0,1.5,4.33,-6.0,-4.0
981,-2320.0,0,1.0,0.0,1.0,-3.0,0.0,-3.5,-3.0
982,1958.0,1,2.0,-1.0,0.4199999999999999,3.0,1.5,-6.0,-4.0
983,5978.0,1,-1.0,-1.0,7.57,6.1,2.5,1.0,2.4
984,-4554.0,0,-1.0,1.0,-2.0,-11.0,3.25,-0.03,2.25
985,6094.0,1,-1.0,-1.0,2.0,4.25,12.5,2.0,4.33
986,6313.0,1,-1.0,-1.0,-0.83,4.0,6.5,0.3399999999999998,2.0
987,4122.0,1,1.0,-1.0,7.0,7.0,2.0,-3.0,3.0
988,4259.0,1,0.0,0.0,6.5,4.5,-3.5,9.33,3.25
989,2019.0,1,-1.0,0.0,-1.0,-1.0,4.0,6.33,5.75
990,2364.0,0,-1.0,0.0,-0.5,-3.5,1.0,4.0,0.0
991,-9692.0,0,1.0,0.0,-3.0,-1.25,0.33,-4.19,-7.7
992,8028.0,1,-1.0,-1.0,5.0,6.0,6.83,3.0,4.33
993,2145.0,0,2.0,0.0,1.0,0.5,0.1,1.0,0.0
994,-1530.0,1,1.0,-1.0,-1.0,0.6699999999999999,1.33,-4.0,-2.6
995,4762.0,1,1.0,-1.0,3.5,3.0,2.5,0.0,4.67
996,-791.0,1,2.0,-1.0,-1.33,-6.5,0.8300000000000001,-2.0,0.1699999999999999
997,2170.0,1,-1.0,-1.0,-1.0,2.33,3.5,3.5,6.33
998,3451.0,1,-1.0,-1.0,1.0,0.25,-2.0,1.0,2.0
999,-1629.0,0,-1.0,0.0,5.0,-2.67,-0.5,-5.0,-1.0
