link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/tr/1403704117,Jax,Gangplank,Taliyah,Poppy,Aurelion Sol,Sylas,Zeri,Samira,Lulu,K'Sante,1.0,0.75,5.0,7.0,1.0,2.0,2.5,2.0,3.0,0.67,2086.0,0.0,0.0,1.0,0.0,2,0,blue
/match/tr/1401329353,Tryndamere,Irelia,Sylas,Gragas,Akshan,Ahri,Zeri,Ezreal,Yuumi,Senna,3.0,0.0,3.5,2.5,1.75,0.75,0.6,8.0,2.0,4.5,84.0,1.0,2.0,1.0,0.0,2,0,blue
/match/tr/1401329101,Aatrox,Thresh,Sylas,Gragas,Syndra,Viktor,Zeri,Jinx,Yuumi,Camille,2.0,0.67,1.0,5.0,0.33,4.0,1.33,2.5,4.0,2.0,1018.0,0.0,0.0,1.0,0.0,1,0,blue
/match/tr/1401326344,Shen,Poppy,Zac,Master Yi,Orianna,Annie,Twitch,Kog'Maw,Lulu,Milio,1.0,1.0,5.0,4.0,3.0,0.0,2.0,1.0,0.67,2.0,-1470.0,1.0,0.0,1.0,0.0,1,1,blue
/match/tr/1401314674,Darius,Sion,Diana,Ryze,Aurelion Sol,Shaco,Miss Fortune,Brand,Thresh,Zeri,4.0,0.2,1.75,5.0,0.0,5.0,1.67,4.5,0.75,3.0,-1869.0,0.0,0.0,1.0,0.0,2,0,blue
/match/tr/1401306343,Gragas,Riven,Zed,Rengar,Graves,Zilean,Draven,Nami,Janna,Lucian,5.67,0.22,10.0,0.2,3.0,0.67,11.0,0.57,11.0,1.0,12024.0,0.0,3.0,0.0,0.0,1,0,blue
/match/tr/1403491043,Ornn,Renekton,Rengar,Ekko,Ahri,Master Yi,Varus,Ezreal,Maokai,Morgana,0.25,2.0,2.67,3.0,4.0,0.67,7.0,0.8,2.67,1.75,3695.0,0.0,1.0,0.0,1.0,1,1,blue
/match/tr/1403482830,Riven,Volibear,Jarvan IV,Poppy,Katarina,Veigar,Jinx,Xayah,Rakan,Lulu,3.0,1.5,0.83,8.0,0.33,7.0,1.0,3.0,1.0,5.5,-9611.0,3.0,0.0,1.0,0.0,0,1,red
/match/tr/1403483167,Irelia,Mordekaiser,Master Yi,Jarvan IV,Ekko,Jayce,Kalista,Xayah,Lulu,Karma,1.0,2.0,0.83,4.0,0.75,2.33,1.75,3.33,1.2,6.0,-5876.0,1.0,0.0,1.0,0.0,1,1,red
/match/tr/1403481154,Kled,Fiora,Diana,Elise,Kassadin,Anivia,Jhin,Jinx,Yuumi,Nautilus,2.0,0.5,4.5,4.5,0.8,3.0,1.0,3.0,2.5,3.0,-5597.0,1.0,0.0,1.0,1.0,1,1,red
/match/tr/1403476644,Kayle,Aatrox,Graves,Gragas,Yasuo,LeBlanc,Draven,Jinx,Thresh,Leona,1.0,1.67,1.67,9.0,1.0,1.5,3.5,2.0,2.0,1.0,912.0,1.0,0.0,2.0,0.0,0,2,red
/match/tr/1403700239,Kayle,Olaf,Elise,Kayn,Cassiopeia,Sylas,Samira,Jinx,Rell,Lulu,0.25,4.0,2.0,2.5,0.6,2.5,6.0,1.4,3.67,1.0,-3223.0,1.0,0.0,0.0,1.0,0,2,red
/match/tr/1403698343,Ornn,Fiora,Rammus,Karthus,Vladimir,Zed,Jinx,Kai'Sa,Ashe,Lux,0.33,3.0,2.0,3.5,0.4,3.5,0.4,4.5,1.5,8.0,-8333.0,2.0,0.0,0.0,1.0,0,2,red
/match/tr/1403698170,Gangplank,Aatrox,Gragas,Jarvan IV,Katarina,Kassadin,Samira,Jinx,Nautilus,Janna,0.5,1.0,4.0,6.0,2.5,2.0,0.25,10.0,0.25,10.0,-4799.0,0.0,0.0,1.0,0.0,1,1,red
/match/tr/1403696428,Ornn,Volibear,Hecarim,Master Yi,Yone,Syndra,Tristana,Xayah,Bard,Rakan,2.33,0.75,5.0,1.33,0.75,2.0,1.67,2.5,5.0,4.0,1974.0,0.0,1.0,1.0,0.0,0,2,red
/match/tr/1403695763,Thresh,Shen,Teemo,Gragas,Lillia,Qiyana,Caitlyn,Jinx,Jarvan IV,Milio,7.0,0.5,4.0,0.33,1.33,1.0,6.0,0.33,4.5,1.5,2615.0,0.0,0.0,0.0,0.0,1,0,red
/match/tr/1401288539,Gnar,Sion,Kayn,Gragas,Taliyah,Veigar,Ezreal,Xayah,Lulu,Rakan,1.5,2.0,4.0,1.2,0.8,1.67,10.0,0.5,10.0,0.33,4328.0,0.0,0.0,0.0,0.0,2,0,blue
/match/tr/1401279712,Rammus,Cho'Gath,Caitlyn,Miss Fortune,Mordekaiser,Yuumi,Twisted Fate,Kha'Zix,Thresh,Katarina,0.33,3.0,2.33,2.0,2.0,0.0,2.5,2.5,2.0,4.0,-773.0,0.0,0.0,1.0,0.0,0,1,blue
/match/tr/1401270563,Volibear,Poppy,Sylas,Kha'Zix,Katarina,Lux,Varus,Aurelion Sol,Senna,Morgana,1.0,1.0,3.0,1.33,3.5,1.0,3.0,1.0,5.0,0.25,2660.0,0.0,1.0,0.0,0.0,1,1,blue
/match/tr/1401259255,Shen,Camille,Hecarim,Shaco,Ryze,Aurelion Sol,Varus,Samira,Milio,Rell,1.0,2.0,4.0,5.0,0.4,2.0,6.0,0.0,6.0,0.5,2580.0,0.0,0.0,0.0,1.0,0,2,blue
/match/tr/1401242704,Gwen,Yone,Lee Sin,Kindred,Anivia,Ryze,Zeri,Yasuo,Yuumi,Lux,1.0,6.0,0.33,6.0,2.0,0.33,1.2,2.0,7.0,2.67,-3679.0,2.0,0.0,0.0,1.0,0,2,red
/match/tr/1403475754,Poppy,Trundle,Gragas,Hecarim,Karthus,Orianna,Kai'Sa,Jinx,Thresh,Senna,0.67,3.0,0.67,2.0,2.0,6.0,1.0,4.0,2.0,7.0,-5989.0,0.0,0.0,1.0,0.0,1,1,red
/match/tr/1403475186,Fiora,Darius,Elise,Talon,Nami,Lissandra,Ezreal,Sivir,Anivia,Yuumi,9.0,0.0,10.0,1.0,2.0,3.0,3.33,3.0,5.0,0.67,7948.0,0.0,3.0,0.0,1.0,2,0,blue
