link,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,herald_difference_at_20_minutes
/match/eune/3358687150,-5742.0,-3.0,-1.0,red,5.0,0.5,0.33,4.0,0.67,7.0,1.5,2.33,8.0,3.0,0
/match/eune/3358678804,6420.0,2.0,2.0,blue,9.0,2.67,7.0,1.14,1.0,3.0,10.0,1.25,2.17,1.5,2
/match/eune/3358684138,-5360.0,-3.0,1.0,red,4.0,0.2,2.67,3.33,0.88,14.0,0.8,2.67,2.0,3.67,1
/match/eune/3358670919,-3973.0,0.0,-2.0,red,0.0,4.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,2.0,2
/match/eune/3358660962,3777.0,3.0,-2.0,red,0.89,3.0,3.0,2.0,2.5,1.29,2.5,3.0,1.8,1.14,2
/match/eune/3358664632,8166.0,3.0,0.0,blue,7.0,0.2,2.0,0.83,12.0,0.67,2.67,1.75,13.0,0.6,2
/match/eune/3358660169,5860.0,2.0,0.0,blue,3.0,0.29,2.33,1.6,4.5,1.5,3.33,1.25,3.0,1.5,2
/match/eune/3358658426,7228.0,4.0,-1.0,red,6.0,1.4,4.33,1.4,7.0,1.2,0.2,6.0,1.75,2.0,1
/match/eune/3358640007,4129.0,-2.0,0.0,blue,11.0,0.0,7.0,1.75,1.67,1.2,0.75,3.33,1.0,5.5,2
/match/eune/3358643786,-10339.0,-8.0,-1.0,red,2.33,2.67,9.0,8.0,0.71,15.0,0.33,1.5,1.5,1.5,-2
/match/eune/3358626751,-7099.0,-2.0,-3.0,blue,1.4,1.8,1.29,11.0,1.5,2.25,0.75,3.75,0.86,8.0,-2
/match/eune/3358634250,827.0,1.0,-2.0,red,1.25,1.75,1.33,1.8,8.0,6.0,2.0,0.62,3.33,4.33,2
/match/eune/3358618728,781.0,1.0,-2.0,red,0.67,9.0,1.5,7.0,1.4,2.0,3.33,1.6,1.67,2.17,2
/match/eune/3358616940,6043.0,3.0,3.0,blue,1.75,1.67,10.0,0.75,6.0,1.25,8.0,1.33,2.0,3.0,0
/match/eune/3358620527,-1182.0,1.0,1.0,red,0.5,2.5,2.0,6.0,1.0,1.5,1.33,2.0,4.0,5.0,-1
/match/eune/3358614755,-1722.0,1.0,2.0,red,0.5,3.0,1.5,6.0,0.67,10.0,3.33,0.43,2.0,3.67,0
/match/eune/3358621310,8377.0,3.0,0.0,blue,1.2,4.0,5.0,0.78,10.0,0.17,3.33,1.75,3.0,1.0,2
/match/eune/3358623183,4388.0,4.0,1.0,blue,1.0,1.71,6.5,2.0,2.25,0.6,6.0,0.6,6.5,1.67,2
/match/eune/3358612615,984.0,0.0,2.0,blue,1.0,2.33,3.0,3.0,3.0,1.0,4.0,1.25,1.33,2.0,0
/match/eune/3358606027,-1129.0,2.0,-1.0,blue,3.0,1.5,1.67,14.0,0.6,8.0,2.5,1.25,2.5,1.83,2
/match/eune/3358609779,-7955.0,-3.0,-2.0,red,2.8,1.0,2.0,1.5,2.0,9.0,1.5,6.5,0.43,6.5,-1
/match/eune/3358614252,3975.0,2.0,1.0,blue,0.0,6.0,2.0,3.25,3.67,0.67,1.0,2.67,2.5,3.0,2
/match/eune/3358604773,-5287.0,-2.0,0.0,red,1.67,0.6,2.5,6.5,1.2,1.5,0.5,21.0,0.4,18.0,0
/match/eune/3358613213,-7817.0,-2.0,-1.0,red,1.25,4.0,2.67,3.67,5.33,1.5,1.71,3.33,2.8,3.4,0
/match/eune/3358602903,-2480.0,0.0,-2.0,blue,1.0,2.33,3.67,1.33,3.0,1.14,1.5,1.75,1.5,7.0,-2
