gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-867.0,1,-2,-1.0,1.0,0.0,3.75,5.33,5.0,4.0,-1.0,1.0
1059.0,0,2,0.0,0.0,-1.75,0.0,1.5,-3.0,0.0,1.0,-1.0
-121.0,1,1,-1.0,-1.0,-8.5,-1.58,-0.1699999999999999,4.75,-0.33,-2.0,0.0
2145.0,0,1,2.0,0.0,1.0,0.5,0.1,1.0,0.0,1.0,0.0
5810.0,1,-1,1.0,-1.0,0.9,7.67,8.83,0.6699999999999999,6.33,4.0,1.0
-4568.0,0,-2,0.0,1.0,-2.67,-4.0,-1.83,2.67,-4.0,-4.0,1.0
2781.0,1,2,2.0,-2.0,2.33,0.5,2.5,-3.5,-4.0,2.0,0.0
-3022.0,0,-2,2.0,1.0,-1.0,-2.7,1.5,0.0,-3.5,0.0,-1.0
5343.0,1,2,-2.0,0.0,8.8,9.5,-0.3399999999999998,1.33,3.33,-1.0,1.0
-4924.0,0,0,2.0,1.0,-2.0,-6.0,-2.33,-4.5,-6.75,-1.0,-1.0
803.0,1,0,1.0,0.0,-0.5,2.83,-2.0,6.0,3.5,-3.0,-1.0
-2541.0,1,-2,-1.0,0.0,-2.25,-1.0,-2.0,1.0,3.0,-1.0,0.0
-4570.0,1,-2,-1.0,2.0,-1.0,-1.53,-1.0,2.0,1.0,2.0,0.0
-2572.0,0,0,1.0,0.0,-1.0,-11.0,0.8300000000000001,4.0,-3.5,-2.0,0.0
5644.0,1,1,-1.0,-1.0,2.67,3.33,-1.0,7.33,1.67,2.0,-1.0
6014.0,1,2,-2.0,0.0,0.5,4.0,0.5,4.0,4.0,-1.0,0.0
-1701.0,0,0,1.0,0.0,0.3399999999999998,-2.17,-0.8,1.4,-3.0,-3.0,2.0
4047.0,1,-1,0.0,-1.0,-2.4,1.42,2.67,8.5,7.0,0.0,-1.0
5079.0,0,0,-1.0,0.0,2.0,0.33,6.0,3.25,-1.5,-1.0,-1.0
