Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
4959,3895.0,0,2,0.0,-1.0,3.0,1.0,5.75,0.5,-0.8300000000000001,1.0,1.0
628,-1605.0,0,2,0.0,-1.0,5.8,-2.0,-2.0,-3.5,-8.25,1.0,-1.0
6360,277.0,0,0,1.0,-1.0,0.0,0.0,0.0,-3.0,-2.67,-1.0,-1.0
1566,5103.0,1,2,-1.0,-1.0,2.8,8.75,3.5,-2.67,8.0,-3.0,0.0
7169,-1151.0,0,2,1.0,-1.0,4.0,-2.0,0.75,-4.33,-5.0,0.0,2.0
3159,12353.0,1,-1,-2.0,-4.0,3.8,7.2,5.25,8.5,15.43,0.0,2.0
8119,-12919.0,0,-1,1.0,3.0,-1.17,-5.0,-12.25,-7.33,-12.4,-3.0,-1.0
7690,-8809.0,0,-2,1.0,1.0,-1.5,-5.0,-5.0,-12.5,-6.17,1.0,1.0
2099,-8241.0,1,-1,-1.0,2.0,-5.83,-8.5,-2.33,-0.5,-3.0,1.0,0.0
7807,-214.0,0,-2,0.0,1.0,2.0,1.0,6.75,-5.5,-5.67,1.0,-1.0
3097,-13337.0,0,-2,0.0,2.0,0.5,-2.67,-2.5,-4.81,-7.83,0.0,-1.0
4476,1143.0,0,2,-1.0,-1.0,-6.0,6.33,5.5,0.3299999999999999,2.67,1.0,0.0
6671,731.0,1,0,-2.0,1.0,1.0,0.33,0.0,7.8,8.0,-1.0,-1.0
8859,6857.0,1,1,0.0,-1.0,5.5,3.8,3.6,-0.1699999999999999,-3.5,0.0,-1.0
547,-4314.0,0,0,2.0,0.0,0.0,-4.0,0.5,-5.0,-5.0,-1.0,0.0
4240,-5549.0,0,1,1.0,0.0,-6.0,-10.0,1.5,-8.0,-5.0,2.0,0.0
8816,3821.0,1,0,-1.0,0.0,-2.4,8.86,-1.67,1.83,6.0,1.0,1.0
2749,1793.0,1,1,-1.0,0.0,0.0,-1.5,-2.67,1.33,1.33,-1.0,0.0
5651,-2499.0,1,-2,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0
8267,3955.0,1,2,-1.0,-1.0,-1.0,-0.5,-0.25,4.0,4.67,-1.0,1.0
1948,-618.0,1,2,1.0,-1.0,1.0,-0.95,-5.0,-4.25,1.75,2.0,1.0
7487,-918.0,1,0,1.0,0.0,0.5,-5.5,6.0,-4.5,-0.8300000000000001,0.0,0.0
6962,-7843.0,0,-2,1.0,1.0,-1.0,-3.5,-4.67,-6.0,-8.67,-1.0,-1.0
9775,5846.0,1,1,0.0,-2.0,0.4199999999999999,3.6,4.0,12.0,8.5,0.0,0.0
8976,3529.0,1,0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,-1.0,1.0
6893,154.0,1,0,-1.0,0.0,4.0,8.0,4.33,0.8300000000000001,-0.4199999999999999,-1.0,1.0
211,-209.0,0,0,2.0,0.0,0.0,4.0,2.0,-3.75,5.0,-1.0,0.0
5274,-1235.0,0,1,-1.0,0.0,0.0,-4.33,-3.0,-1.0,-1.0,0.0,1.0
5810,3457.0,1,2,1.0,-1.0,1.5,3.33,1.0,2.0,2.0,0.0,-1.0
3043,-1021.0,1,-2,-2.0,0.0,-0.83,5.25,2.0,-2.75,-3.0,-1.0,-2.0
3390,2220.0,1,-2,-1.0,1.0,-0.1,4.0,-1.08,8.71,13.25,3.0,1.0
5273,671.0,0,2,0.0,0.0,0.0,6.0,2.0,1.0,1.58,0.0,1.0
5967,-8449.0,0,-2,2.0,2.0,-2.0,-3.0,-3.67,-5.67,-5.75,-1.0,0.0
7464,-1013.0,0,2,0.0,1.0,-1.0,-2.75,-2.5,8.0,7.2,0.0,1.0
3655,-2023.0,1,0,0.0,2.0,0.1,-1.67,-0.92,2.5,2.0,3.0,1.0
1057,-515.0,1,0,-1.0,1.0,3.33,-1.5,2.0,1.0,2.0,-1.0,1.0
4963,-1872.0,1,-2,1.0,0.0,-3.1,-6.75,-0.5,1.0,1.8,1.0,0.0
1070,2112.0,1,2,2.0,-1.0,-1.9,10.0,2.5,1.0,-0.1999999999999999,0.0,-1.0
2510,1933.0,1,2,1.0,0.0,-5.0,1.5,-2.0,0.0,0.1,2.0,-1.0
912,-8424.0,0,-2,2.0,1.0,-2.67,-2.5,-1.0,-6.67,-8.8,0.0,1.0
6964,-7748.0,0,-2,1.0,1.0,-1.0,-4.0,-2.5,-11.5,-13.78,-1.0,0.0
4938,1028.0,1,0,1.0,0.0,-2.0,0.0,1.0,0.0,1.0,-1.0,-1.0
161,4255.0,1,2,1.0,0.0,1.0,5.0,0.0,0.33,7.4,0.0,0.0
2628,6527.0,1,2,-2.0,0.0,2.5,14.5,3.5,8.0,9.0,-1.0,-1.0
2434,912.0,0,-2,2.0,1.0,-0.6699999999999999,-7.33,-0.5,1.5,1.0,0.0,-1.0
1508,-2971.0,1,2,2.0,1.0,0.0,-4.5,-2.5,-2.0,0.92,1.0,1.0
9460,7327.0,1,2,-1.0,-1.0,2.67,13.2,11.5,1.4,2.4,1.0,1.0
959,3369.0,1,1,-1.0,0.0,-0.3299999999999999,3.0,3.67,-1.25,-2.5,-1.0,0.0
3347,-2740.0,0,-2,1.0,1.0,1.67,-2.0,1.0,-6.6,-6.67,0.0,0.0
8959,-3898.0,0,-2,-1.0,2.0,2.0,4.0,-3.0,-1.0,3.67,0.0,1.0
1254,2701.0,0,0,-1.0,1.0,4.0,4.5,-0.5,-2.5,-0.33,0.0,-1.0
3751,-2237.0,1,-2,2.0,2.0,-2.0,-4.0,-1.67,-0.4199999999999999,0.8300000000000001,3.0,0.0
7537,-3562.0,0,-2,-1.0,1.0,-1.67,-5.8,-1.0,-1.33,3.67,0.0,-1.0
5416,1636.0,1,2,2.0,-1.0,-1.58,6.0,0.17,3.9,-1.9,2.0,0.0
6187,3220.0,1,2,1.0,0.0,1.67,3.5,2.0,1.0,3.0,-2.0,-1.0
6611,-468.0,0,-2,-1.0,0.0,1.83,0.5,-2.0,-2.75,-3.0,-1.0,0.0
2137,6477.0,1,0,-2.0,-1.0,0.0,3.0,0.33,3.5,6.5,1.0,0.0
8731,3818.0,1,-1,-2.0,1.0,2.3,1.5,0.33,1.25,5.67,1.0,0.0
4532,-2588.0,1,2,1.0,1.0,0.66,-2.67,-3.33,0.0,-2.5,-1.0,0.0
1846,-2730.0,0,0,1.0,1.0,2.33,-7.25,0.0,-1.17,-2.67,-1.0,1.0
8845,-2653.0,1,1,-2.0,0.0,-6.67,2.1,5.33,-6.25,-6.33,0.0,-1.0
8296,6676.0,1,2,-1.0,-2.0,0.5800000000000001,15.25,3.17,2.29,2.42,1.0,-1.0
7195,-2299.0,0,-2,1.0,1.0,1.0,2.0,1.0,-4.5,-3.5,0.0,1.0
1999,-4264.0,0,-1,2.0,1.0,-3.0,-1.8,-4.33,0.5,0.5,1.0,0.0
9629,645.0,1,0,-1.0,-1.0,4.0,0.6699999999999999,-2.5,7.5,1.67,2.0,-1.0
5920,-5290.0,0,-1,1.0,0.0,-1.0,-4.5,-6.5,-10.5,-1.0,0.0,-1.0
4263,7865.0,1,1,-1.0,-2.0,5.0,4.0,4.75,6.0,-2.67,0.0,0.0
1144,1764.0,1,0,0.0,0.0,3.25,2.0,6.75,-3.5,0.5,1.0,1.0
8865,-3697.0,0,-2,0.0,1.0,5.67,-2.83,-1.0,-0.75,-6.67,-2.0,-1.0
564,-5952.0,0,-2,0.0,1.0,-4.0,2.5,1.0,-2.5,-6.5,-2.0,0.0
4571,3330.0,1,2,-1.0,-1.0,0.0,-2.0,-0.3399999999999998,2.5,11.71,2.0,1.0
6469,1429.0,0,1,1.0,0.0,2.67,1.0,-2.5,-6.0,-5.67,1.0,1.0
9586,-1648.0,0,0,1.0,0.0,0.5,-5.67,-7.33,0.25,-4.0,0.0,2.0
5314,-2279.0,1,-2,-1.0,1.0,-5.5,-9.33,-1.0,0.33,0.6600000000000001,0.0,-1.0
2647,3120.0,1,2,-2.0,-1.0,7.83,9.0,4.0,3.0,0.33,-1.0,-1.0
8939,-3218.0,0,2,1.0,1.0,0.83,-5.0,-0.75,-1.75,0.0,2.0,1.0
5516,-8109.0,0,-1,0.0,2.0,-1.17,0.0,-2.1,-4.0,-9.0,-1.0,-1.0
1557,565.0,0,1,1.0,0.0,2.0,-3.5,-6.5,-5.5,0.33,0.0,-1.0
3102,1615.0,1,0,0.0,0.0,0.3299999999999999,1.67,-2.5,3.0,1.34,0.0,1.0
1066,-5606.0,0,-1,1.0,2.0,-1.58,-10.2,-3.6,3.67,1.0,3.0,-1.0
2063,-11409.0,0,-1,1.0,1.0,-3.75,-3.17,-1.67,-6.0,-3.0,-1.0,-1.0
7181,-3692.0,1,0,0.0,0.0,-1.5,4.67,3.33,-5.67,-0.33,-1.0,0.0
2961,9079.0,1,1,-2.0,-2.0,4.0,4.5,-1.5,4.0,5.6,4.0,1.0
3458,-5134.0,1,-1,-1.0,1.0,-7.5,-4.5,-7.0,2.0,-7.0,0.0,1.0
7692,3946.0,1,0,-1.0,-1.0,0.0,2.0,2.83,4.4,0.1699999999999999,-1.0,-1.0
9788,223.0,1,0,-2.0,0.0,1.0,6.75,-1.5,0.0,1.34,0.0,-1.0
321,-2692.0,1,2,0.0,2.0,1.0,-2.0,-0.83,0.1699999999999999,0.33,-1.0,0.0
9347,-7636.0,0,-1,-1.0,1.0,0.0,-10.67,-7.0,0.0,-0.73,0.0,-1.0
9919,1522.0,0,2,0.0,0.0,0.0,2.25,-0.25,4.0,2.0,-1.0,-1.0
6239,-5437.0,1,0,0.0,0.0,0.0,-6.67,-0.5,-0.5,-4.67,2.0,0.0
3987,-704.0,0,-2,0.0,1.0,1.67,1.0,-1.0,-2.0,-2.0,-1.0,1.0
9244,1581.0,1,2,0.0,-1.0,-3.5,3.5,5.0,-2.67,2.0,0.0,0.0
6281,-7131.0,0,1,0.0,1.0,0.75,-7.0,0.83,-4.5,-1.17,3.0,0.0
7883,5999.0,1,2,-1.0,-1.0,-3.0,3.67,3.0,2.33,5.0,-1.0,0.0
