sequence_number,team_win,win_prob
4356,1,0.9287267325001031
4360,0,0.7276308228019909
4363,1,0.85174224536846
4367,0,0.7609099107138725
4368,0,0.43461713676966585
4373,0,0.6808623517642448
4374,1,0.30457451391820595
4378,1,0.9410631827487723
4386,0,0.010627615984033908
4388,1,0.3612910878844725
4393,0,0.0809081538635876
4396,1,0.9883440595187994
4399,1,0.7798313722763148
4402,0,0.8645388185140329
4413,1,0.9892066144291665
4416,0,0.4134672705733045
4422,0,0.16625679603966345
4424,1,0.10846228927931371
4429,0,0.0743819805339217
4437,1,0.900348463630882
4443,0,0.48108882325347263
4449,0,0.03627402899345664
4451,0,0.09129319195222647
4455,0,0.2363140868436707
4462,1,0.669390801303848
4464,0,0.42353804347785284
4467,0,0.12793033780897511
4476,0,0.5432198934308352
4481,0,0.2043187980610432
4487,1,0.38415834374410673
4490,0,0.04641238956981005
4503,0,0.16737167006208709
4506,0,0.4747591923384005
4510,1,0.9763026039695836
4515,0,0.044496462529849935
4519,1,0.9574649785703849
4523,1,0.4958867111567309
4526,1,0.47538061018625205
4533,0,0.09978486181288901
4535,0,0.7114804858482273
4536,1,0.7644834027046974
4540,0,0.32017729371614295
4555,1,0.8571388523724868
4561,0,0.8002421992403812
4562,0,0.03930441911840508
4565,1,0.7284311762969299
4566,0,0.3607096332168243
4569,1,0.8649277944883588
4575,0,0.20462088110681584
4581,0,0.15889231599224388
4588,0,0.08727033061852241
4589,1,0.5889969077715084
4594,0,0.4535702226845505
4598,1,0.6847561621851116
4599,0,0.2807243755875142
4602,1,0.26144464025037645
4607,1,0.9564426752962542
4608,1,0.9793573217041367
4609,0,0.522077139032546
4610,1,0.5241555904427069
4614,1,0.4484542184967506
4623,1,0.36831504483254734
4626,0,0.25479351109386533
4631,0,0.3302944796643708
4632,1,0.7554258969681666
4634,0,0.13538175092182342
4642,0,0.6131736558669829
4650,0,0.3811533562542662
4657,1,0.9600579893815245
4658,1,0.28801949997574355
4668,0,0.6144205677092489
4681,1,0.431755522535586
4683,1,0.876550207057145
4686,1,0.740387347999928
4695,0,0.02473830943554691
4696,1,0.9227208576980832
4707,0,0.48788444871544806
4708,1,0.9091427743646419
4711,1,0.45162844614034664
4713,1,0.4624035035509653
4723,0,0.4467969799570294
4727,1,0.6712106741013059
4731,1,0.9539660288831402
4735,1,0.9426615161101345
4746,1,0.503836510777144
4760,0,0.08255554862583617
4771,0,0.7802567449702307
4772,0,0.03914245451970486
4776,0,0.2958911448229012
4784,0,0.12620708074777956
4787,1,0.8496400013827605
4788,0,0.6050644705589372
4792,0,0.38711725284427145
4793,0,0.709233443953249
4795,1,0.9624255862081219
4802,0,0.8062454041665794
4804,0,0.03941631795956895
4813,0,0.467534984678677
4817,0,0.44915151533544917
4819,0,0.0742030266457074
4824,1,0.2985277858141399
4825,1,0.6042491605405875
4827,1,0.704848294731959
4831,0,0.08705201854852437
4833,1,0.7151879938640302
4837,0,0.14938461246140508
4843,0,0.6536769916924602
4848,1,0.4319378689337254
4851,0,0.7357477569575822
4857,0,0.5034904549166377
4863,1,0.612967631233263
4869,0,0.19170067659767745
4872,1,0.396611043440433
4882,1,0.6901299064955277
4891,0,0.04480574299257791
4895,1,0.6869805917559223
4897,0,0.1696238010081669
4901,1,0.8420121178786717
4902,1,0.9890216158577164
4906,0,0.03194931477046652
4914,0,0.14793808786481086
4915,0,0.4671944202213483
4920,1,0.5521015517987383
4922,1,0.875178532785593
4937,1,0.7896788174588437
4950,0,0.18091306594294193
4951,0,0.6616524369828997
4953,0,0.34444157533490066
4964,0,0.3570359395281634
4979,0,0.754755804481816
4983,0,0.05408355975207552
4985,0,0.5163907052582348
4986,1,0.8866676615861812
4990,1,0.33260274534143724
4994,0,0.5675260299478333
4996,0,0.033867109615113716
5000,1,0.8065160853893539
5004,1,0.9239956484336652
5012,1,0.7407765595895851
5015,0,0.3548126197440726
5016,1,0.843410035138779
5020,1,0.6863409348651129
5050,1,0.4212800975099787
5051,1,0.6203155387397277
5066,1,0.8833042462211986
5071,0,0.07679650928816807
5072,0,0.03251501941426884
5075,1,0.3145528712914319
5080,1,0.9421362603160722
5093,0,0.02116655914355512
5095,1,0.2194960933699218
5099,1,0.7171195801628969
5112,1,0.8173192019362302
5113,1,0.9596022731818599
5115,1,0.8953492296398956
5118,0,0.2669628130953135
5122,0,0.8863242085106527
5124,0,0.094075116983036
5126,0,0.4467285360973118
5144,0,0.48988193598882845
5145,0,0.5663518648148658
5152,0,0.5142112053917408
5154,0,0.046088985062620304
5156,0,0.13378801318600508
5166,1,0.701415604840943
5171,0,0.4093003072750632
5181,1,0.587801780750108
5182,1,0.7752216767766122
5187,0,0.05313650847555982
5191,1,0.7384061279185695
5194,1,0.43099724909091514
5197,0,0.4206941641296611
5203,1,0.9613223282888375
5211,0,0.18478493976473864
5215,1,0.8352192824163804
5217,0,0.9716732058740558
5218,0,0.4225663186770987
5222,1,0.6274677325147534
5227,0,0.6531749478967468
5228,0,0.1204571205073837
5235,0,0.01141029299949913
5236,0,0.16347325503248855
5248,0,0.8192717891418517
5264,1,0.3177773909692235
5265,0,0.14232541649440436
5266,1,0.7787991088853333
5269,1,0.6698784451708943
5272,0,0.24317509514854427
5273,1,0.8451605742408033
5275,0,0.11922631797445961
5283,0,0.32605983459925036
5291,1,0.9918567317307276
5295,0,0.3424553912040219
5297,0,0.22843804022438963
5299,0,0.09755351848011544
5304,1,0.48775232281544517
5314,0,0.13294595168604925
5328,0,0.1861156898683014
5329,0,0.5171350984226191
5332,0,0.043642127260857824
5340,0,0.09845699611368247
5341,1,0.9190205729523532
5355,1,0.7733053360217116
5358,0,0.11227651071939351
5363,0,0.4331753947597372
5370,0,0.6411539080468913
5376,1,0.9861236300263209
5380,1,0.47856703183728555
5382,0,0.6871682362443896
5397,0,0.35289474114220226
5404,0,0.06002074427893616
5412,0,0.3883980601662908
5419,0,0.4354774268235395
5423,0,0.27678977099009305
5426,0,0.19959353647479242
5427,1,0.827208082480011
5428,0,0.18162260583373943
5429,1,0.9302285898829282
5435,0,0.17420299109808932
5437,1,0.42495260453782435
5447,0,0.4773763008343779
5448,0,0.5799025129708842
5462,0,0.2694910293474411
5468,0,0.26589998892465305
5471,1,0.7416796480889909
5479,1,0.6513523400580802
5482,1,0.6860906290417096
5493,0,0.06652041150273194
5497,0,0.8737466271371408
5506,0,0.3017374263749249
5516,0,0.2625947110589592
5517,0,0.4664948409797985
5518,1,0.9150805312237944
5523,0,0.8525423049079558
5528,0,0.13413968482729252
5533,0,0.47788161678163604
5538,1,0.26319119598834523
5539,1,0.7480613336464578
5545,1,0.9542749658903797
5546,0,0.1277357504608569
5548,0,0.5348723169917797
5550,0,0.16269611421739563
5552,1,0.9152495920217839
5559,1,0.44546493314424873
5560,1,0.44376708039577856
5567,1,0.9779598698550168
5573,0,0.032166053987620936
5590,1,0.5263793003923152
5594,1,0.44823130649584364
5595,1,0.32786609015897306
5609,0,0.04262014175390587
5611,1,0.43801780785498146
5614,0,0.4096638261389051
5615,1,0.23197100595435308
5617,1,0.10533918990908538
5618,1,0.8034435038811153
5629,0,0.12345330302438016
5630,1,0.9633592255185892
5636,0,0.7532443294332511
5640,0,0.007121592415680901
5641,0,0.3611773976558452
5643,1,0.3834862377320165
5650,1,0.9072723370996075
5651,1,0.7293544416385683
5658,1,0.6885038885948487
5661,0,0.08795321067784341
5666,0,0.012735436264933998
5685,1,0.6378480216614055
5688,0,0.19317282944900074
5697,0,0.6969362991256981
5699,0,0.6799124068830417
5701,1,0.8746377414935554
5704,0,0.2823822119815792
5706,0,0.042650917394408336
5711,1,0.959561738848354
5717,0,0.5622867170297938
5724,1,0.06018806931206033
5731,0,0.9337665721724181
5732,0,0.667563763591155
5741,1,0.8816158683060336
5742,0,0.07481929723520397
5757,1,0.6409804358187488
5767,1,0.5820631452107506
5769,0,0.2207399620722887
5770,1,0.8232207452668888
5781,0,0.09753383731453248
5791,0,0.045709229992728306
5793,1,0.8503106270907936
5796,0,0.057512509757232544
5799,1,0.8512210963358513
5805,0,0.0037656510514197765
5806,0,0.36417050982434623
5810,1,0.32661210788966777
5814,0,0.058537229689371535
5815,0,0.7182566251973377
5818,0,0.13586007767504113
5820,0,0.27319821563399643
5821,0,0.28093977833581574
5822,0,0.10209205916136166
5826,1,0.3182448103631005
5829,0,0.2876932300164782
5830,1,0.47906088009985914
5832,1,0.5098716876950186
5838,0,0.06426427823973108
5844,1,0.09408724384716927
5849,0,0.027490265283419968
5850,1,0.37040703212327886
5860,0,0.21222719263746842
5862,1,0.7254682028017841
5874,1,0.8152515512975281
5875,0,0.22883104455813472
5876,1,0.945227759727749
5877,1,0.6246735337345949
5883,1,0.46002181700183226
5885,1,0.6480669127349149
5897,0,0.049545956796079704
5901,0,0.046279166958520586
5903,1,0.8806982798171126
5904,0,0.5039228002409152
5909,1,0.7294295265637641
5913,1,0.6646207050640582
5915,0,0.6412863534808914
5919,0,0.17414795018851367
5932,0,0.31975420387140097
5934,1,0.9350155912240173
5938,1,0.4309855368862411
5943,1,0.5326414711345486
5946,0,0.3087935544585793
5951,1,0.7702663100908743
5954,1,0.8111261291367954
5957,1,0.4749559983013279
5958,1,0.935841699330537
5969,1,0.5426869212058791
5992,0,0.057631218974036724
5994,0,0.20692308030418533
6014,1,0.3436061358772592
6019,1,0.35881988138075116
6022,1,0.9322014901948555
6023,0,0.34719698810779354
6028,1,0.8246154710368889
6040,1,0.6998246572479465
